id,name,URL,isAlways,notes
1,『七色のマナ』特別魔法行使学,,true,
2,イーヴァル狂闘術,,true,
3,ミハウ式流円闘技,,true,
4,カスロット豪砂拳・バタス派,,false,
5,マカジャハット・プロ・グラップリング,,true,
6,ナルザラント柔盾活用術,,true,
7,アースト強射術,,true,
8,ヒアデム魔力流転操撃,,true,
9,古モルガナンシン王国式戦域魔導術,,true,
10,ダイケホーン双霊氷法,,true,
11,スホルテン騎乗戦技,,true,
12,アードリアン流古武道・メルキアノ道場,,true,
13,エルエレナ惑乱操布術,,true,
14,ファイラステン古流ヴィンド派(双剣の型),,true,
15,クウェラン闇弓術改式,,true,
16,ヴァルト式戦場剣殺法,,true,
17,ガオン無双獣投術,,true,
18,聖戦士ローガン鉄壁の型,,true,
19,クーハイケン強竜乗法,,true,
20,キルガリー双刃戦武闘技,,true,
21,エステル式ポール舞踏術,,true,
22,銛王ナイネルガの伝承,,true,
23,死骸銃遊戯,,true,
24,対奈落教会議・奈落反転神術,,false,
25,『七色のマナ』式召異魔法術・魔使影光学理論,,false,
26,アルショニ軽身跳闘法,,false,
27,ノーザンファング鉱士削岩闘法,,true,
28,キングスレイ式近接銃撃術,,true,
29,ネルネニアン騎獣調香術,,true,
30,オルフィード式蒸発妖精術,,true,
31,フィノア派森羅導術,,true,
32,ソムバートル制圧弓騎兵団,,true,
33,ハールーン魔精解放術式,,false,
34,ウル・ディ・ガウル秘薬刀術,,true,
35,アヴァルフ口伝・森択演奏術,,true,
36,オークファルト念闘術,,true,
37,ガムベイ奈落技術討究派,,false,
38,クルガタ歌葬術ファーラ派,https://yutorize.work/ytsheet/sw2.5/?id=18RRPK,false,
39,クルガタ歌葬術バーク派,https://yutorize.work/ytsheet/sw2.5/?id=FQgcum,false,
40,クルガタ歌葬術デボラ派,https://yutorize.work/ytsheet/sw2.5/?id=qQvRky,true,
41,討滅武技ルインフォース,https://yutorize.2-d.jp/ytsheet/sw2.5/?id=NUQrQP,true,
42,フォンディイ龍気誘術,https://yutorize.2-d.jp/ytsheet/sw2.5/?id=1YtB0R,true,
43,ラティード応援舞術,https://yutorize.2-d.jp/ytsheet/sw2.5/?id=YJrUYB,true,
44,アマミヤ流魔神討滅剣技,https://yutorize.2-d.jp/ytsheet/sw2.5/?id=A8cXMu,true,
45,ハヤテ式二輪舞闘術,https://yutorize.2-d.jp/ytsheet/sw2.5/?id=FzdDnj,true,
46,トゥール式双手武闘術グラド派,https://yutorize.2-d.jp/ytsheet/sw2.5/?id=7RqwkK,true,
47,リカント相伝憑依術式,https://lite.evernote.com/note/c0260981-4000-20af-a788-0a1465c4d5ee,true,
